Temperature,PH,Nitrogen,Phosphorous,Potassium,Soil,Crop,Growth_Stage,Fertilizer_Type,Fertilizer_per_acre
27.17,7.13,147,35,116,Sandy loam,Radish,Flowering,NPK 15-15-15,27
24.71,7.20,66,97,46,Loam,Radish,Germination,DAP,19
28.46,6.42,78,98,70,Sandy loam,Radish,Vegetative,Urea,22
33.21,6.76,93,36,78,Loam,Rice,Flowering,Urea,22
33.00,7.37,39,148,148,Sandy loam,Rice,Flowering,Urea,31
29.57,5.99,48,79,93,Sandy loam,Beetroot,Vegetative,NPK 15-15-15,40
30.74,6.25,109,40,153,Loam,Red onion,Flowering,Urea,25
24.88,6.28,72,159,153,Sandy loam,Red onion,Vegetative,NPK 15-15-15,33
31.22,7.06,88,54,118,Sandy loam,Radish,Vegetative,Urea,25
34.90,6.66,78,29,127,Clay,Rice,Germination,NPK 15-15-15,23
31.26,6.29,120,95,155,Clay,Radish,Germination,DAP,19
25.03,5.94,71,32,153,Clay,Radish,Germination,DAP,17
30.28,6.39,103,55,83,Loam,Beetroot,Flowering,NPK 15-15-15,54
34.02,6.93,90,152,124,Clay,Beetroot,Germination,NPK 15-15-15,34
35.32,6.18,37,106,98,Loam,Radish,Vegetative,Urea,30
31.67,6.65,92,50,63,Clay,Red onion,Flowering,Urea,27
31.43,6.83,59,152,152,Loam,Radish,Flowering,NPK 15-15-15,27
27.13,6.17,69,98,49,Loam,Beetroot,Vegetative,Urea,37
35.91,6.99,58,137,40,Sandy loam,Radish,Vegetative,Urea,23
30.55,6.30,73,83,150,Sandy loam,Beetroot,Flowering,NPK 15-15-15,44
32.10,6.93,82,145,96,Loam,Radish,Flowering,NPK 15-15-15,32
26.19,6.44,149,72,53,Sandy loam,Beetroot,Flowering,NPK 15-15-15,50
33.79,6.18,28,28,124,Sandy loam,Red onion,Vegetative,NPK 15-15-15,34
29.26,6.23,37,63,23,Loam,Radish,Flowering,NPK 15-15-15,26
24.62,5.89,146,62,103,Sandy loam,Rice,Vegetative,Urea,37
24.98,6.03,151,43,138,Loam,Red onion,Flowering,Urea,23
32.38,5.88,146,25,51,Loam,Red onion,Flowering,Urea,25
27.82,7.32,49,134,140,Sandy loam,Beetroot,Vegetative,Urea,44
29.79,6.65,105,142,137,Loam,Beetroot,Germination,NPK 15-15-15,34
34.48,6.55,154,59,94,Loam,Radish,Vegetative,Urea,20
30.13,7.19,124,93,27,Sandy loam,Rice,Flowering,Urea,32
32.78,5.86,94,46,104,Loam,Radish,Vegetative,Urea,28
30.55,6.58,62,90,154,Clay,Red onion,Vegetative,NPK 15-15-15,25
35.09,7.38,134,32,89,Clay,Beetroot,Flowering,NPK 15-15-15,60
27.16,6.17,97,135,78,Loam,Red onion,Germination,DAP,18
28.69,6.64,47,126,150,Sandy loam,Red onion,Vegetative,NPK 15-15-15,32
27.20,6.53,139,94,64,Sandy loam,Beetroot,Germination,NPK 15-15-15,32
35.45,6.19,48,31,38,Sandy loam,Red onion,Vegetative,NPK 15-15-15,32
28.74,6.30,41,104,133,Loam,Red onion,Germination,DAP,23
24.71,6.74,33,127,93,Sandy loam,Radish,Germination,DAP,18
31.59,5.85,56,157,134,Loam,Radish,Vegetative,Urea,22
29.97,7.04,87,117,77,Sandy loam,Radish,Flowering,NPK 15-15-15,22
33.30,6.70,119,97,21,Clay,Red onion,Vegetative,NPK 15-15-15,27
28.51,7.01,102,141,41,Loam,Radish,Flowering,NPK 15-15-15,24
24.25,6.12,32,82,49,Sandy loam,Rice,Germination,DAP,27
32.78,5.95,48,97,142,Loam,Radish,Flowering,NPK 15-15-15,24
30.55,7.25,61,55,105,Loam,Rice,Flowering,Urea,30
32.32,6.44,148,56,108,Loam,Beetroot,Flowering,NPK 15-15-15,45
25.03,6.18,122,101,40,Clay,Radish,Vegetative,Urea,26
25.40,6.58,89,59,124,Loam,Radish,Flowering,NPK 15-15-15,33
25.14,5.87,34,94,68,Sandy loam,Rice,Flowering,Urea,28
31.51,7.20,74,133,98,Loam,Rice,Vegetative,Urea,43
29.36,7.18,100,121,25,Loam,Red onion,Germination,DAP,16
28.16,6.49,117,137,27,Clay,Red onion,Flowering,Urea,26
27.77,6.58,141,116,45,Clay,Beetroot,Flowering,NPK 15-15-15,44
25.15,6.24,30,62,21,Clay,Red onion,Flowering,Urea,29
35.44,6.97,47,140,101,Loam,Radish,Germination,DAP,19
33.62,7.29,33,131,24,Clay,Beetroot,Flowering,NPK 15-15-15,49
24.38,6.41,44,148,116,Loam,Radish,Germination,DAP,19
32.59,6.78,100,140,36,Clay,Rice,Flowering,Urea,23
35.26,6.18,120,46,68,Sandy loam,Red onion,Germination,DAP,17
24.58,6.06,113,160,109,Sandy loam,Radish,Flowering,NPK 15-15-15,28
28.70,6.39,118,84,69,Clay,Rice,Vegetative,Urea,42
26.71,7.36,88,24,124,Sandy loam,Radish,Germination,DAP,16
24.77,6.33,82,23,27,Loam,Red onion,Germination,DAP,23
33.83,6.58,142,75,60,Clay,Beetroot,Vegetative,NPK 15-15-15,38
30.23,6.47,144,146,110,Clay,Beetroot,Flowering,NPK 15-15-15,41
24.16,7.21,102,87,129,Loam,Radish,Germination,DAP,17
27.50,5.90,121,97,89,Clay,Red onion,Vegetative,NPK 15-15-15,34
35.95,6.34,20,38,140,Sandy loam,Beetroot,Germination,NPK 15-15-15,31
30.11,6.82,69,120,125,Loam,Radish,Germination,DAP,16
29.49,6.46,107,65,79,Clay,Radish,Vegetative,Urea,27
25.97,6.09,124,146,110,Loam,Red onion,Germination,DAP,18
33.01,7.35,127,158,40,Loam,Radish,Germination,DAP,19
25.89,7.12,53,84,72,Clay,Beetroot,Germination,NPK 15-15-15,35
30.38,6.05,77,139,62,Clay,Beetroot,Germination,NPK 15-15-15,26
25.28,6.33,44,75,65,Sandy loam,Rice,Germination,DAP,23
35.23,6.31,87,26,109,Sandy loam,Beetroot,Vegetative,Urea,36
34.83,6.48,54,46,114,Loam,Red onion,Vegetative,NPK 15-15-15,34
33.23,6.04,56,80,57,Sandy loam,Radish,Germination,DAP,18
29.27,6.83,48,152,93,Clay,Red onion,Vegetative,NPK 15-15-15,29
24.15,6.30,110,100,94,Sandy loam,Radish,Flowering,NPK 15-15-15,34
28.63,6.55,129,35,80,Clay,Rice,Flowering,Urea,22
35.94,6.51,39,41,59,Clay,Rice,Vegetative,Urea,38
30.90,7.21,86,113,102,Loam,Beetroot,Flowering,NPK 15-15-15,51
34.43,6.26,88,71,66,Loam,Beetroot,Germination,NPK 15-15-15,35
27.16,6.04,133,78,133,Loam,Radish,Vegetative,Urea,22
31.23,6.65,142,96,91,Sandy loam,Radish,Flowering,NPK 15-15-15,23
29.10,7.05,55,160,85,Clay,Beetroot,Flowering,NPK 15-15-15,44
27.91,7.29,68,67,118,Clay,Rice,Flowering,Urea,24
31.84,6.58,87,60,97,Loam,Beetroot,Germination,NPK 15-15-15,25
30.89,6.73,78,158,114,Clay,Radish,Vegetative,Urea,23
34.34,6.71,129,43,119,Loam,Radish,Flowering,NPK 15-15-15,26
31.91,6.47,101,30,148,Clay,Beetroot,Flowering,NPK 15-15-15,49
34.22,6.79,39,57,51,Clay,Rice,Germination,NPK 15-15-15,22
24.52,5.94,106,138,138,Clay,Red onion,Flowering,Urea,28
28.50,6.75,106,146,126,Clay,Rice,Flowering,Urea,24
30.36,5.84,78,154,31,Sandy loam,Red onion,Germination,DAP,24
28.74,6.33,76,51,160,Sandy loam,Red onion,Flowering,Urea,22
29.33,7.08,94,122,25,Clay,Red onion,Germination,DAP,15
28.21,6.80,80,115,40,Clay,Beetroot,Germination,NPK 15-15-15,30
28.70,6.55,130,68,44,Sandy loam,Rice,Vegetative,Urea,44
31.32,6.64,79,76,27,Clay,Beetroot,Flowering,NPK 15-15-15,52
29.95,6.16,157,77,129,Sandy loam,Rice,Germination,NPK 15-15-15,25
31.19,7.25,87,49,25,Clay,Radish,Flowering,NPK 15-15-15,26
25.72,5.87,82,50,148,Sandy loam,Radish,Vegetative,Urea,25
28.89,6.33,40,21,38,Loam,Beetroot,Germination,NPK 15-15-15,33
24.16,6.02,154,160,108,Clay,Radish,Flowering,NPK 15-15-15,28
29.23,6.59,148,103,121,Sandy loam,Radish,Germination,DAP,17
30.37,6.39,27,23,95,Clay,Radish,Vegetative,Urea,28
30.17,6.97,99,103,90,Sandy loam,Beetroot,Flowering,NPK 15-15-15,57
31.92,6.72,41,28,160,Loam,Radish,Flowering,NPK 15-15-15,29
29.38,6.77,21,148,76,Loam,Beetroot,Germination,NPK 15-15-15,33
32.15,7.30,55,155,86,Sandy loam,Red onion,Vegetative,NPK 15-15-15,27
25.72,6.31,68,128,102,Sandy loam,Rice,Flowering,Urea,33
24.32,5.94,114,88,144,Clay,Rice,Flowering,Urea,33
30.27,7.37,73,145,74,Sandy loam,Red onion,Flowering,Urea,26
29.32,6.03,107,145,115,Clay,Beetroot,Germination,NPK 15-15-15,33
33.95,6.70,79,119,155,Loam,Rice,Flowering,Urea,21
28.25,6.58,124,152,92,Loam,Radish,Vegetative,Urea,27
25.00,6.10,135,89,62,Clay,Red onion,Germination,DAP,18
27.57,6.83,109,43,36,Loam,Red onion,Germination,DAP,19
24.04,6.18,24,118,68,Loam,Beetroot,Flowering,NPK 15-15-15,50
34.04,6.12,42,118,80,Clay,Rice,Flowering,Urea,27
26.49,6.99,60,39,46,Loam,Red onion,Flowering,Urea,28
31.39,6.95,30,55,120,Sandy loam,Red onion,Germination,DAP,18
25.44,6.19,40,22,60,Loam,Rice,Flowering,Urea,25
27.80,5.90,44,148,105,Loam,Rice,Flowering,Urea,27
29.13,7.37,25,134,151,Loam,Red onion,Vegetative,NPK 15-15-15,32
32.88,6.44,112,80,104,Loam,Beetroot,Flowering,NPK 15-15-15,51
31.67,6.31,41,159,155,Loam,Beetroot,Flowering,NPK 15-15-15,41
24.94,7.28,78,55,38,Sandy loam,Red onion,Flowering,Urea,26
34.16,5.96,99,23,124,Clay,Rice,Vegetative,Urea,41
28.74,6.89,72,25,147,Loam,Red onion,Germination,DAP,21
24.20,7.25,151,136,117,Clay,Radish,Flowering,NPK 15-15-15,21
32.06,7.07,114,147,40,Clay,Beetroot,Flowering,NPK 15-15-15,57
34.55,7.25,39,149,69,Loam,Radish,Flowering,NPK 15-15-15,27
32.91,6.10,159,77,36,Clay,Beetroot,Vegetative,NPK 15-15-15,41
26.65,7.16,80,56,64,Clay,Red onion,Flowering,Urea,24
25.02,6.48,142,93,21,Sandy loam,Red onion,Vegetative,NPK 15-15-15,35
27.11,6.98,37,30,159,Sandy loam,Radish,Flowering,NPK 15-15-15,24
31.17,7.10,94,128,143,Loam,Beetroot,Flowering,NPK 15-15-15,52
24.80,6.07,106,123,54,Clay,Radish,Flowering,NPK 15-15-15,28
26.61,6.87,85,47,22,Sandy loam,Radish,Vegetative,Urea,28
26.79,7.21,131,127,156,Sandy loam,Radish,Flowering,NPK 15-15-15,22
25.06,6.74,130,31,67,Sandy loam,Rice,Flowering,Urea,24
24.27,5.95,154,39,32,Clay,Beetroot,Flowering,NPK 15-15-15,41
28.68,6.30,151,153,138,Loam,Rice,Flowering,Urea,23
33.82,6.08,142,129,125,Loam,Rice,Germination,DAP,28
30.53,6.63,120,57,89,Loam,Radish,Vegetative,Urea,27
30.03,5.82,117,90,31,Loam,Red onion,Vegetative,NPK 15-15-15,30
34.10,7.16,97,84,27,Loam,Red onion,Germination,DAP,19
34.74,6.19,67,90,107,Sandy loam,Rice,Flowering,Urea,33
35.62,5.89,27,98,107,Sandy loam,Radish,Germination,DAP,17
33.27,7.09,33,34,120,Sandy loam,Rice,Flowering,Urea,31
25.53,7.10,25,153,69,Clay,Radish,Flowering,NPK 15-15-15,35
32.57,6.71,124,43,136,Clay,Beetroot,Flowering,NPK 15-15-15,54
26.93,5.86,109,148,69,Clay,Radish,Flowering,NPK 15-15-15,34
28.46,6.87,115,160,139,Sandy loam,Beetroot,Vegetative,Urea,52
24.15,6.57,64,49,72,Loam,Radish,Germination,DAP,20
25.10,5.94,24,157,155,Sandy loam,Red onion,Germination,DAP,18
31.19,6.13,66,35,25,Clay,Rice,Flowering,Urea,30
24.49,5.98,78,82,154,Clay,Radish,Vegetative,Urea,23
35.28,6.31,96,67,41,Loam,Beetroot,Germination,NPK 15-15-15,28
32.80,6.15,63,76,49,Sandy loam,Beetroot,Germination,NPK 15-15-15,30
27.43,7.04,21,76,44,Sandy loam,Rice,Flowering,Urea,33
33.14,7.25,110,133,125,Clay,Red onion,Vegetative,NPK 15-15-15,30
24.47,6.16,37,77,42,Loam,Radish,Flowering,NPK 15-15-15,26
30.28,6.77,151,156,76,Clay,Rice,Germination,DAP,20
24.22,6.81,142,131,23,Clay,Rice,Flowering,Urea,21
29.42,6.64,30,103,110,Loam,Rice,Germination,DAP,23
34.47,7.08,66,75,39,Clay,Red onion,Vegetative,NPK 15-15-15,33
25.72,7.05,28,85,34,Loam,Radish,Vegetative,Urea,27
33.95,7.36,121,24,40,Loam,Rice,Vegetative,Urea,43
29.26,6.78,66,141,88,Sandy loam,Rice,Vegetative,Urea,37
31.88,6.52,80,89,50,Sandy loam,Beetroot,Flowering,NPK 15-15-15,51
29.56,6.42,160,82,143,Loam,Beetroot,Vegetative,Urea,39
26.23,6.06,70,106,106,Clay,Red onion,Germination,DAP,18
33.46,5.92,135,39,65,Sandy loam,Radish,Germination,DAP,18
28.29,6.81,70,121,81,Clay,Beetroot,Vegetative,Urea,36
30.36,6.30,147,62,42,Sandy loam,Radish,Flowering,NPK 15-15-15,29
27.29,6.99,107,65,122,Sandy loam,Red onion,Germination,DAP,21
35.84,7.40,67,133,145,Loam,Red onion,Vegetative,NPK 15-15-15,33
29.50,7.33,100,22,33,Sandy loam,Rice,Vegetative,Urea,36
31.51,7.32,107,64,85,Loam,Radish,Germination,DAP,19
32.54,7.00,32,68,55,Clay,Beetroot,Germination,NPK 15-15-15,27
30.09,6.50,150,69,53,Loam,Red onion,Vegetative,NPK 15-15-15,28
34.97,7.26,65,136,146,Loam,Radish,Germination,DAP,15
25.19,5.94,96,143,87,Loam,Beetroot,Flowering,NPK 15-15-15,60
28.00,6.07,88,46,95,Sandy loam,Radish,Vegetative,Urea,24
33.07,7.19,64,153,57,Sandy loam,Beetroot,Vegetative,NPK 15-15-15,52
27.93,6.88,134,123,103,Loam,Beetroot,Flowering,NPK 15-15-15,46
28.16,7.17,68,56,87,Clay,Radish,Germination,DAP,15
34.63,6.44,89,63,125,Sandy loam,Rice,Germination,DAP,27
34.50,7.02,142,144,83,Loam,Rice,Germination,DAP,29
32.64,6.22,135,96,113,Loam,Radish,Germination,DAP,16
35.05,6.23,112,131,159,Clay,Rice,Germination,DAP,25
28.82,6.96,116,77,111,Loam,Red onion,Flowering,Urea,26
31.51,7.06,145,131,112,Loam,Rice,Vegetative,Urea,41
29.63,5.85,20,80,77,Clay,Radish,Germination,DAP,17
28.26,7.09,107,136,22,Loam,Radish,Vegetative,Urea,21
34.67,6.27,116,94,114,Clay,Red onion,Vegetative,NPK 15-15-15,27
26.72,7.19,72,100,111,Loam,Beetroot,Germination,NPK 15-15-15,25
26.02,6.04,64,75,61,Clay,Rice,Flowering,Urea,22
32.21,6.84,38,73,109,Clay,Radish,Germination,DAP,16
26.86,7.17,58,142,61,Loam,Radish,Germination,DAP,18
25.11,7.06,64,29,43,Clay,Beetroot,Flowering,NPK 15-15-15,45
27.44,7.05,94,108,41,Loam,Radish,Flowering,NPK 15-15-15,20
27.74,6.65,133,86,87,Loam,Beetroot,Flowering,NPK 15-15-15,55
25.48,6.05,122,75,130,Sandy loam,Radish,Germination,DAP,19
24.90,6.26,55,154,104,Clay,Rice,Flowering,Urea,22
32.59,7.04,93,36,102,Sandy loam,Red onion,Vegetative,NPK 15-15-15,28
35.84,6.32,57,116,121,Clay,Rice,Flowering,Urea,32
29.77,7.22,132,155,91,Clay,Radish,Flowering,NPK 15-15-15,27
33.70,5.88,48,133,151,Clay,Rice,Germination,NPK 15-15-15,25
33.13,5.80,137,156,139,Sandy loam,Radish,Germination,DAP,19
30.32,7.37,100,132,152,Loam,Beetroot,Germination,NPK 15-15-15,35
27.72,6.48,80,61,160,Sandy loam,Red onion,Vegetative,NPK 15-15-15,26
26.90,6.57,121,31,87,Sandy loam,Rice,Vegetative,Urea,37
28.03,6.00,150,133,133,Sandy loam,Red onion,Flowering,Urea,29
33.66,6.44,36,39,149,Clay,Red onion,Flowering,Urea,22
24.52,7.10,119,107,125,Sandy loam,Beetroot,Germination,NPK 15-15-15,28
32.14,6.67,61,62,149,Clay,Radish,Germination,DAP,18
32.95,6.62,159,110,86,Sandy loam,Beetroot,Flowering,NPK 15-15-15,52
24.81,6.12,158,41,129,Sandy loam,Rice,Flowering,Urea,25
35.74,6.82,68,128,26,Clay,Rice,Flowering,Urea,35
24.42,5.98,55,143,136,Sandy loam,Radish,Flowering,NPK 15-15-15,22
28.74,6.26,114,98,25,Clay,Red onion,Flowering,Urea,29
30.33,6.77,25,157,86,Sandy loam,Red onion,Germination,DAP,16
27.10,6.30,109,68,61,Loam,Red onion,Vegetative,NPK 15-15-15,34
35.64,6.81,31,33,153,Clay,Beetroot,Flowering,NPK 15-15-15,59
34.90,6.34,100,36,97,Clay,Radish,Flowering,NPK 15-15-15,23
33.45,7.20,93,85,33,Sandy loam,Rice,Vegetative,Urea,40
34.32,6.52,158,73,126,Clay,Radish,Vegetative,Urea,25
32.77,6.99,149,106,101,Clay,Red onion,Germination,DAP,17
27.07,6.05,125,51,54,Sandy loam,Rice,Germination,DAP,20
33.28,6.85,68,27,160,Sandy loam,Red onion,Vegetative,NPK 15-15-15,31
30.70,6.42,151,107,51,Loam,Beetroot,Vegetative,NPK 15-15-15,38
27.97,6.87,72,32,31,Clay,Radish,Flowering,NPK 15-15-15,30
26.74,6.26,71,26,131,Clay,Beetroot,Flowering,NPK 15-15-15,59
24.93,6.90,93,26,99,Loam,Rice,Germination,DAP,21
33.25,5.86,96,72,107,Sandy loam,Beetroot,Vegetative,Urea,35
32.52,6.64,71,102,39,Clay,Radish,Vegetative,Urea,21
25.46,7.17,66,117,125,Sandy loam,Red onion,Flowering,Urea,23
24.23,6.57,127,133,101,Sandy loam,Beetroot,Flowering,NPK 15-15-15,45
30.17,7.24,27,66,72,Sandy loam,Beetroot,Germination,NPK 15-15-15,29
33.87,6.35,48,133,73,Loam,Rice,Flowering,Urea,30
33.85,6.73,63,30,33,Loam,Rice,Germination,DAP,29
27.37,6.63,95,138,121,Loam,Rice,Vegetative,Urea,42
32.79,6.68,72,79,98,Clay,Rice,Germination,NPK 15-15-15,30
31.70,6.89,129,69,135,Sandy loam,Radish,Vegetative,Urea,20
27.85,6.91,139,94,100,Sandy loam,Rice,Flowering,Urea,24
28.86,6.50,77,117,57,Clay,Beetroot,Vegetative,Urea,41
35.83,7.08,109,146,143,Sandy loam,Beetroot,Vegetative,Urea,44
29.90,7.35,109,112,93,Sandy loam,Radish,Flowering,NPK 15-15-15,26
25.23,6.71,51,135,146,Sandy loam,Red onion,Vegetative,NPK 15-15-15,28
28.08,6.38,140,129,104,Loam,Rice,Flowering,Urea,24
26.18,5.94,104,28,59,Loam,Radish,Vegetative,Urea,23
35.21,6.85,123,117,132,Loam,Rice,Germination,NPK 15-15-15,29
29.77,7.17,105,152,100,Clay,Beetroot,Vegetative,NPK 15-15-15,41
31.22,6.05,146,23,149,Clay,Rice,Flowering,Urea,28
28.55,5.84,124,94,130,Clay,Radish,Vegetative,Urea,20
32.49,6.90,114,61,41,Sandy loam,Red onion,Vegetative,NPK 15-15-15,25
35.73,6.88,30,89,46,Clay,Rice,Flowering,Urea,27
29.51,7.31,82,121,110,Loam,Radish,Flowering,NPK 15-15-15,33
35.28,6.09,21,127,39,Clay,Beetroot,Flowering,NPK 15-15-15,51
34.71,7.32,104,26,33,Sandy loam,Rice,Flowering,Urea,33
29.02,7.16,24,23,95,Clay,Rice,Germination,NPK 15-15-15,21
25.54,6.69,151,23,123,Clay,Rice,Vegetative,Urea,42
26.80,6.46,49,117,35,Sandy loam,Beetroot,Flowering,NPK 15-15-15,49
29.16,7.18,138,76,23,Clay,Rice,Germination,DAP,22
27.31,5.99,95,53,128,Loam,Red onion,Vegetative,NPK 15-15-15,28
29.11,6.67,104,149,137,Clay,Radish,Flowering,NPK 15-15-15,32
26.58,7.10,31,50,80,Clay,Red onion,Flowering,Urea,25
34.24,6.18,145,151,86,Sandy loam,Rice,Germination,DAP,21
26.45,7.05,55,97,149,Clay,Rice,Germination,DAP,26
29.00,6.46,133,142,75,Clay,Radish,Vegetative,Urea,26
28.96,7.33,20,26,65,Sandy loam,Red onion,Vegetative,NPK 15-15-15,35
35.08,6.09,64,156,35,Loam,Rice,Vegetative,Urea,39
30.50,5.86,77,102,83,Sandy loam,Radish,Vegetative,Urea,20
35.39,7.05,147,50,56,Loam,Red onion,Germination,DAP,16
30.90,5.91,117,33,62,Loam,Radish,Germination,DAP,16
35.41,6.66,57,144,35,Clay,Red onion,Germination,DAP,24
25.70,6.19,135,81,123,Loam,Radish,Flowering,NPK 15-15-15,27
35.99,6.87,115,104,25,Loam,Beetroot,Vegetative,NPK 15-15-15,50
32.32,5.88,61,29,85,Clay,Beetroot,Vegetative,NPK 15-15-15,45
24.48,6.47,100,41,126,Loam,Red onion,Vegetative,NPK 15-15-15,31
24.37,7.28,28,61,82,Loam,Rice,Germination,DAP,22
29.91,6.38,144,105,123,Clay,Red onion,Germination,DAP,24
32.90,6.06,137,83,42,Clay,Radish,Vegetative,Urea,21
32.70,6.52,107,136,48,Loam,Radish,Vegetative,Urea,23
33.53,7.26,51,156,140,Loam,Radish,Germination,DAP,18
34.09,7.11,159,101,35,Clay,Beetroot,Flowering,NPK 15-15-15,54
35.74,6.45,101,75,27,Clay,Rice,Vegetative,Urea,41
