Date,market,item,price,volume_MT
2022-05-09,Colombo,Rice,237.87,40.92
2022-05-10,Colombo,Rice,215.56,40.36
2022-05-11,Colombo,Rice,176.84,50.92
2022-05-12,Colombo,Rice,236.72,44.71
2022-05-13,Colombo,Rice,207.91,54.07
2022-05-14,Colombo,Rice,264.7,49.82
2022-05-15,Colombo,Rice,213.2,36.72
2022-05-16,Colombo,Rice,299.0,47.06
2022-05-17,Colombo,Rice,187.87,53.56
2022-05-18,Colombo,Rice,204.92,57.55
2022-05-19,Colombo,Rice,246.91,37.99
2022-05-20,Colombo,Rice,171.32,50.43
2022-05-21,Colombo,Rice,225.24,57.25
2022-05-22,Colombo,Rice,265.16,42.91
2022-05-23,Colombo,Rice,157.39,26.87
2022-05-24,Colombo,Rice,223.66,47.36
2022-05-25,Colombo,Rice,226.44,57.76
2022-05-26,Colombo,Rice,245.74,48.56
2022-05-27,Colombo,Rice,171.09,43.17
2022-05-28,Colombo,Rice,168.01,38.38
2022-05-29,Colombo,Rice,236.13,30.02
2022-05-30,Colombo,Rice,227.81,26.13
2022-05-31,Colombo,Rice,226.09,50.44
2022-06-01,Colombo,Rice,225.39,56.72
2022-06-02,Colombo,Rice,187.43,40.54
2022-06-03,Colombo,Rice,221.17,51.93
2022-06-04,Colombo,Rice,223.41,56.34
2022-06-05,Colombo,Rice,186.16,34.99
2022-06-06,Colombo,Rice,281.57,26.54
2022-06-07,Colombo,Rice,230.1,52.9
2022-06-08,Colombo,Rice,168.53,49.59
2022-06-09,Colombo,Rice,236.85,48.83
2022-06-10,Colombo,Rice,176.54,45.9
2022-06-11,Colombo,Rice,241.68,50.65
2022-06-12,Colombo,Rice,255.42,37.68
2022-06-13,Colombo,Rice,182.23,47.55
2022-06-14,Colombo,Rice,248.2,50.84
2022-06-15,Colombo,Rice,227.84,61.33
2022-06-16,Colombo,Rice,242.97,52.68
2022-06-17,Colombo,Rice,282.71,49.25
2022-06-18,Colombo,Rice,203.5,51.11
2022-06-19,Colombo,Rice,184.71,28.59
2022-06-20,Colombo,Rice,179.69,36.61
2022-06-21,Colombo,Rice,182.41,35.06
2022-06-22,Colombo,Rice,209.73,43.53
2022-06-23,Colombo,Rice,225.19,50.82
2022-06-24,Colombo,Rice,222.81,58.95
2022-06-25,Colombo,Rice,243.16,60.73
2022-06-26,Colombo,Rice,213.06,33.76
2022-06-27,Colombo,Rice,266.32,35.82
2022-06-28,Colombo,Rice,202.79,57.38
2022-06-29,Colombo,Rice,299.0,40.03
2022-06-30,Colombo,Rice,235.71,53.04
2022-07-01,Colombo,Rice,159.62,70.07
2022-07-02,Colombo,Rice,151.72,77.94
2022-07-03,Colombo,Rice,209.15,52.14
2022-07-04,Colombo,Rice,183.05,59.66
2022-07-05,Colombo,Rice,217.72,86.6
2022-07-06,Colombo,Rice,208.81,90.69
2022-07-07,Colombo,Rice,188.62,84.18
2022-07-08,Colombo,Rice,160.0,82.06
2022-07-09,Colombo,Rice,135.3,102.25
2022-07-10,Colombo,Rice,174.8,43.2
2022-07-11,Colombo,Rice,222.98,70.24
2022-07-12,Colombo,Rice,199.23,76.52
2022-07-13,Colombo,Rice,145.25,86.85
2022-07-14,Colombo,Rice,197.72,76.09
2022-07-15,Colombo,Rice,205.56,71.57
2022-07-16,Colombo,Rice,158.63,85.81
2022-07-17,Colombo,Rice,197.0,64.75
2022-07-18,Colombo,Rice,193.47,59.97
2022-07-19,Colombo,Rice,149.05,73.49
2022-07-20,Colombo,Rice,204.54,123.34
2022-07-21,Colombo,Rice,212.05,94.38
2022-07-22,Colombo,Rice,231.36,91.2
2022-07-23,Colombo,Rice,230.28,75.76
2022-07-24,Colombo,Rice,140.37,50.75
2022-07-25,Colombo,Rice,156.64,53.65
2022-07-26,Colombo,Rice,210.36,92.98
2022-07-27,Colombo,Rice,210.31,68.11
2022-07-28,Colombo,Rice,210.36,67.18
2022-07-29,Colombo,Rice,299.0,86.47
2022-07-30,Colombo,Rice,212.42,83.83
2022-07-31,Colombo,Rice,233.3,49.53
2022-08-01,Colombo,Rice,226.59,46.83
2022-08-02,Colombo,Rice,215.4,97.25
2022-08-03,Colombo,Rice,179.65,84.28
2022-08-04,Colombo,Rice,219.37,63.64
2022-08-05,Colombo,Rice,162.74,64.48
2022-08-06,Colombo,Rice,182.55,75.66
2022-08-07,Colombo,Rice,173.36,62.16
2022-08-08,Colombo,Rice,194.34,61.0
2022-08-09,Colombo,Rice,276.9,93.58
2022-08-10,Colombo,Rice,122.27,62.12
2022-08-11,Colombo,Rice,216.69,82.69
2022-08-12,Colombo,Rice,131.68,97.11
2022-08-13,Colombo,Rice,173.86,95.99
2022-08-14,Colombo,Rice,231.57,59.01
2022-08-15,Colombo,Rice,193.69,75.72
2022-08-16,Colombo,Rice,151.46,87.31
2022-08-17,Colombo,Rice,164.86,92.51
2022-08-18,Colombo,Rice,216.44,80.53
2022-08-19,Colombo,Rice,164.3,70.63
2022-08-20,Colombo,Rice,199.31,69.5
2022-08-21,Colombo,Rice,192.99,57.53
2022-08-22,Colombo,Rice,167.22,54.22
2022-08-23,Colombo,Rice,270.58,58.78
2022-08-24,Colombo,Rice,214.75,67.69
2022-08-25,Colombo,Rice,116.43,76.18
2022-08-26,Colombo,Rice,198.2,88.73
2022-08-27,Colombo,Rice,166.84,79.81
2022-08-28,Colombo,Rice,222.83,55.39
2022-08-29,Colombo,Rice,162.01,47.71
2022-08-30,Colombo,Rice,187.07,80.28
2022-08-31,Colombo,Rice,209.98,95.83
2022-09-01,Colombo,Rice,223.32,81.87
2022-09-02,Colombo,Rice,146.93,61.91
2022-09-03,Colombo,Rice,178.94,64.98
2022-09-04,Colombo,Rice,173.75,60.95
2022-09-05,Colombo,Rice,167.15,54.12
2022-09-06,Colombo,Rice,256.59,79.11
2022-09-07,Colombo,Rice,206.28,72.65
2022-09-08,Colombo,Rice,144.69,86.04
2022-09-09,Colombo,Rice,225.25,76.39
2022-09-10,Colombo,Rice,269.77,77.76
2022-09-11,Colombo,Rice,229.48,48.85
2022-09-12,Colombo,Rice,135.13,63.74
2022-09-13,Colombo,Rice,173.4,77.35
2022-09-14,Colombo,Rice,238.15,87.29
2022-09-15,Colombo,Rice,165.14,65.68
2022-09-16,Colombo,Rice,207.72,100.81
2022-09-17,Colombo,Rice,219.95,95.33
2022-09-18,Colombo,Rice,157.03,39.96
2022-09-19,Colombo,Rice,189.11,49.26
2022-09-20,Colombo,Rice,71.46,85.73
2022-09-21,Colombo,Rice,153.43,64.16
2022-09-22,Colombo,Rice,181.97,78.42
2022-09-23,Colombo,Rice,145.17,85.12
2022-09-24,Colombo,Rice,251.66,77.78
2022-09-25,Colombo,Rice,138.43,60.53
2022-09-26,Colombo,Rice,175.03,50.18
2022-09-27,Colombo,Rice,196.14,53.07
2022-09-28,Colombo,Rice,244.6,91.79
2022-09-29,Colombo,Rice,138.21,91.71
2022-09-30,Colombo,Rice,234.31,110.04
2022-10-01,Colombo,Rice,223.57,33.45
2022-10-02,Colombo,Rice,186.9,38.94
2022-10-03,Colombo,Rice,240.28,24.66
2022-10-04,Colombo,Rice,230.55,63.17
2022-10-05,Colombo,Rice,201.0,53.66
2022-10-06,Colombo,Rice,225.77,42.86
2022-10-07,Colombo,Rice,208.95,55.85
2022-10-08,Colombo,Rice,227.39,45.85
2022-10-09,Colombo,Rice,247.68,36.58
2022-10-10,Colombo,Rice,281.84,36.08
2022-10-11,Colombo,Rice,177.42,63.08
2022-10-12,Colombo,Rice,299.0,63.61
2022-10-13,Colombo,Rice,151.01,45.52
2022-10-14,Colombo,Rice,217.58,57.94
2022-10-15,Colombo,Rice,244.95,52.66
2022-10-16,Colombo,Rice,233.58,27.58
2022-10-17,Colombo,Rice,200.17,31.34
2022-10-18,Colombo,Rice,215.5,67.52
2022-10-19,Colombo,Rice,204.96,52.68
2022-10-20,Colombo,Rice,201.4,57.5
2022-10-21,Colombo,Rice,254.61,48.41
2022-10-22,Colombo,Rice,236.39,45.95
2022-10-23,Colombo,Rice,197.57,35.14
2022-10-24,Colombo,Rice,256.45,33.6
2022-10-25,Colombo,Rice,234.55,38.8
2022-10-26,Colombo,Rice,253.25,42.48
2022-10-27,Colombo,Rice,246.47,55.31
2022-10-28,Colombo,Rice,192.54,47.14
2022-10-29,Colombo,Rice,202.48,50.19
2022-10-30,Colombo,Rice,250.82,36.23
2022-10-31,Colombo,Rice,245.76,36.64
2022-11-01,Colombo,Rice,222.42,58.6
2022-11-02,Colombo,Rice,227.53,41.76
2022-11-03,Colombo,Rice,270.43,54.28
2022-11-04,Colombo,Rice,201.32,55.66
2022-11-05,Colombo,Rice,243.42,57.39
2022-11-06,Colombo,Rice,215.71,27.58
2022-11-07,Colombo,Rice,215.14,36.34
2022-11-08,Colombo,Rice,263.82,62.87
2022-11-09,Colombo,Rice,253.71,49.26
2022-11-10,Colombo,Rice,253.27,53.63
2022-11-11,Colombo,Rice,271.46,55.85
2022-11-12,Colombo,Rice,223.97,42.31
2022-11-13,Colombo,Rice,248.4,44.63
2022-11-14,Colombo,Rice,211.72,37.62
2022-11-15,Colombo,Rice,235.18,53.9
2022-11-16,Colombo,Rice,218.38,37.53
2022-11-17,Colombo,Rice,226.78,55.96
2022-11-18,Colombo,Rice,245.19,53.8
2022-11-19,Colombo,Rice,192.93,62.18
2022-11-20,Colombo,Rice,299.0,33.37
2022-11-21,Colombo,Rice,185.99,29.81
2022-11-22,Colombo,Rice,178.29,44.88
2022-11-23,Colombo,Rice,266.01,46.21
2022-11-24,Colombo,Rice,252.46,41.61
2022-11-25,Colombo,Rice,246.26,59.68
2022-11-26,Colombo,Rice,246.42,59.96
2022-11-27,Colombo,Rice,222.73,33.97
2022-11-28,Colombo,Rice,190.01,32.94
2022-11-29,Colombo,Rice,225.99,36.38
2022-11-30,Colombo,Rice,198.15,55.22
2022-12-01,Colombo,Rice,248.61,62.4
2022-12-02,Colombo,Rice,207.12,45.22
2022-12-03,Colombo,Rice,182.03,49.12
2022-12-04,Colombo,Rice,200.67,37.28
2022-12-05,Colombo,Rice,227.83,44.05
2022-12-06,Colombo,Rice,191.71,51.5
2022-12-07,Colombo,Rice,182.16,51.47
2022-12-08,Colombo,Rice,221.57,51.34
2022-12-09,Colombo,Rice,221.61,39.31
2022-12-10,Colombo,Rice,193.81,39.15
2022-12-11,Colombo,Rice,195.14,30.76
2022-12-12,Colombo,Rice,221.14,40.32
2022-12-13,Colombo,Rice,159.01,47.48
2022-12-14,Colombo,Rice,160.51,46.03
2022-12-15,Colombo,Rice,185.99,45.9
2022-12-16,Colombo,Rice,204.66,48.97
2022-12-17,Colombo,Rice,224.05,62.77
2022-12-18,Colombo,Rice,279.86,35.85
2022-12-19,Colombo,Rice,257.02,32.35
2022-12-20,Colombo,Rice,219.4,52.6
2022-12-21,Colombo,Rice,224.61,66.19
2022-12-22,Colombo,Rice,197.81,50.11
2022-12-23,Colombo,Rice,234.19,44.6
2022-12-24,Colombo,Rice,224.2,50.13
2022-12-25,Colombo,Rice,256.38,39.96
2022-12-26,Colombo,Rice,181.97,38.61
2022-12-27,Colombo,Rice,231.76,57.55
2022-12-28,Colombo,Rice,269.23,42.16
2022-12-29,Colombo,Rice,208.53,42.87
2022-12-30,Colombo,Rice,227.41,47.58
2022-12-31,Colombo,Rice,238.07,55.13
2023-01-01,Colombo,Rice,197.72,28.38
2023-01-02,Colombo,Rice,220.84,31.81
2023-01-03,Colombo,Rice,213.02,45.55
2023-01-04,Colombo,Rice,216.17,57.06
2023-01-05,Colombo,Rice,183.97,53.96
2023-01-06,Colombo,Rice,213.46,56.78
2023-01-07,Colombo,Rice,239.47,61.96
2023-01-08,Colombo,Rice,274.71,34.46
2023-01-09,Colombo,Rice,256.53,29.69
2023-01-10,Colombo,Rice,299.0,42.46
2023-01-11,Colombo,Rice,199.06,38.24
2023-01-12,Colombo,Rice,259.69,49.17
2023-01-13,Colombo,Rice,234.21,49.76
2023-01-14,Colombo,Rice,299.0,60.38
2023-01-15,Colombo,Rice,182.67,35.09
2023-01-16,Colombo,Rice,181.5,32.43
2023-01-17,Colombo,Rice,190.39,49.13
2023-01-18,Colombo,Rice,134.02,42.21
2023-01-19,Colombo,Rice,193.11,57.69
2023-01-20,Colombo,Rice,184.48,44.11
2023-01-21,Colombo,Rice,218.11,41.45
2023-01-22,Colombo,Rice,225.19,39.29
2023-01-23,Colombo,Rice,281.92,38.01
2023-01-24,Colombo,Rice,247.69,37.07
2023-01-25,Colombo,Rice,191.22,56.41
2023-01-26,Colombo,Rice,179.33,44.44
2023-01-27,Colombo,Rice,230.74,47.19
2023-01-28,Colombo,Rice,163.73,51.4
2023-01-29,Colombo,Rice,280.27,38.08
2023-01-30,Colombo,Rice,256.16,37.34
2023-01-31,Colombo,Rice,195.2,49.63
2023-02-01,Colombo,Rice,117.32,93.63
2023-02-02,Colombo,Rice,230.72,106.18
2023-02-03,Colombo,Rice,176.43,98.22
2023-02-04,Colombo,Rice,226.43,127.08
2023-02-05,Colombo,Rice,121.71,76.16
2023-02-06,Colombo,Rice,158.5,60.3
2023-02-07,Colombo,Rice,180.85,92.84
2023-02-08,Colombo,Rice,182.4,100.72
2023-02-09,Colombo,Rice,164.02,119.49
2023-02-10,Colombo,Rice,203.69,121.17
2023-02-11,Colombo,Rice,141.18,94.06
2023-02-12,Colombo,Rice,175.4,60.2
2023-02-13,Colombo,Rice,185.11,58.85
2023-02-14,Colombo,Rice,199.68,103.79
2023-02-15,Colombo,Rice,206.97,134.56
2023-02-16,Colombo,Rice,139.08,108.09
2023-02-17,Colombo,Rice,123.93,76.09
2023-02-18,Colombo,Rice,227.9,89.11
2023-02-19,Colombo,Rice,192.95,63.45
2023-02-20,Colombo,Rice,152.98,61.37
2023-02-21,Colombo,Rice,238.01,94.18
2023-02-22,Colombo,Rice,184.94,105.54
2023-02-23,Colombo,Rice,224.26,110.23
2023-02-24,Colombo,Rice,183.15,116.38
2023-02-25,Colombo,Rice,256.85,107.86
2023-02-26,Colombo,Rice,245.56,49.48
2023-02-27,Colombo,Rice,171.45,58.9
2023-02-28,Colombo,Rice,216.58,97.63
2023-03-01,Colombo,Rice,204.52,102.21
2023-03-02,Colombo,Rice,231.26,112.92
2023-03-03,Colombo,Rice,144.98,100.65
2023-03-04,Colombo,Rice,206.02,100.76
2023-03-05,Colombo,Rice,219.79,72.5
2023-03-06,Colombo,Rice,115.63,67.32
2023-03-07,Colombo,Rice,136.91,101.3
2023-03-08,Colombo,Rice,105.26,116.89
2023-03-09,Colombo,Rice,170.7,98.74
2023-03-10,Colombo,Rice,207.19,99.55
2023-03-11,Colombo,Rice,236.21,99.5
2023-03-12,Colombo,Rice,183.4,83.63
2023-03-13,Colombo,Rice,240.87,58.37
2023-03-14,Colombo,Rice,129.63,126.64
2023-03-15,Colombo,Rice,117.67,82.35
2023-03-16,Colombo,Rice,178.6,90.19
2023-03-17,Colombo,Rice,194.86,111.17
2023-03-18,Colombo,Rice,179.45,115.45
2023-03-19,Colombo,Rice,104.21,55.26
2023-03-20,Colombo,Rice,177.36,58.53
2023-03-21,Colombo,Rice,132.42,104.17
2023-03-22,Colombo,Rice,205.42,135.17
2023-03-23,Colombo,Rice,194.21,118.69
2023-03-24,Colombo,Rice,145.9,96.28
2023-03-25,Colombo,Rice,161.65,63.71
2023-03-26,Colombo,Rice,141.49,70.86
2023-03-27,Colombo,Rice,178.34,73.8
2023-03-28,Colombo,Rice,215.97,94.26
2023-03-29,Colombo,Rice,144.21,87.24
2023-03-30,Colombo,Rice,199.29,102.39
2023-03-31,Colombo,Rice,161.05,85.87
2023-04-01,Colombo,Rice,187.48,64.04
2023-04-02,Colombo,Rice,212.84,42.96
2023-04-03,Colombo,Rice,178.52,38.45
2023-04-04,Colombo,Rice,196.32,50.67
2023-04-05,Colombo,Rice,172.5,45.05
2023-04-06,Colombo,Rice,289.44,49.84
2023-04-07,Colombo,Rice,248.46,69.27
2023-04-08,Colombo,Rice,221.28,62.84
2023-04-09,Colombo,Rice,255.07,40.11
2023-04-10,Colombo,Rice,243.0,44.31
2023-04-11,Colombo,Rice,261.75,64.69
2023-04-12,Colombo,Rice,292.63,63.35
2023-04-13,Colombo,Rice,297.93,68.6
2023-04-14,Colombo,Rice,273.08,68.96
2023-04-15,Colombo,Rice,260.56,69.98
2023-04-16,Colombo,Rice,206.62,35.85
2023-04-17,Colombo,Rice,131.68,33.67
2023-04-18,Colombo,Rice,160.77,45.89
2023-04-19,Colombo,Rice,267.33,45.0
2023-04-20,Colombo,Rice,277.62,37.96
2023-04-21,Colombo,Rice,207.58,43.16
2023-04-22,Colombo,Rice,238.11,42.94
2023-04-23,Colombo,Rice,228.3,32.34
2023-04-24,Colombo,Rice,299.0,43.2
2023-04-25,Colombo,Rice,258.19,48.82
2023-04-26,Colombo,Rice,212.06,51.81
2023-04-27,Colombo,Rice,181.46,52.05
2023-04-28,Colombo,Rice,174.74,65.87
2023-04-29,Colombo,Rice,241.66,48.61
2023-04-30,Colombo,Rice,206.17,36.0
2023-05-01,Colombo,Rice,181.55,36.65
2023-05-02,Colombo,Rice,223.24,65.08
2023-05-03,Colombo,Rice,207.16,66.81
2023-05-04,Colombo,Rice,299.0,59.56
2023-05-05,Colombo,Rice,292.76,68.73
2023-05-06,Colombo,Rice,216.5,51.33
2023-05-07,Colombo,Rice,271.51,34.09
2023-05-08,Colombo,Rice,219.65,41.19
2023-05-09,Colombo,Rice,184.94,53.66
2023-05-10,Colombo,Rice,273.11,44.48
2023-05-11,Colombo,Rice,236.72,57.48
2023-05-12,Colombo,Rice,178.44,48.44
2023-05-13,Colombo,Rice,209.75,47.52
2023-05-14,Colombo,Rice,184.41,39.69
2023-05-15,Colombo,Rice,165.66,34.53
2023-05-16,Colombo,Rice,251.04,52.92
2023-05-17,Colombo,Rice,287.39,54.96
2023-05-18,Colombo,Rice,165.08,44.13
2023-05-19,Colombo,Rice,237.61,52.89
2023-05-20,Colombo,Rice,192.73,60.12
2023-05-21,Colombo,Rice,198.78,29.98
2023-05-22,Colombo,Rice,194.89,37.36
2023-05-23,Colombo,Rice,184.84,43.78
2023-05-24,Colombo,Rice,218.58,57.66
2023-05-25,Colombo,Rice,186.06,57.59
2023-05-26,Colombo,Rice,226.79,47.34
2023-05-27,Colombo,Rice,214.93,66.57
2023-05-28,Colombo,Rice,207.95,40.81
2023-05-29,Colombo,Rice,183.23,38.71
2023-05-30,Colombo,Rice,195.46,54.88
2023-05-31,Colombo,Rice,244.72,57.38
2023-06-01,Colombo,Rice,231.06,42.53
2023-06-02,Colombo,Rice,176.39,51.46
2023-06-03,Colombo,Rice,216.21,52.87
2023-06-04,Colombo,Rice,240.32,32.9
2023-06-05,Colombo,Rice,150.81,37.44
2023-06-06,Colombo,Rice,232.63,59.24
2023-06-07,Colombo,Rice,188.04,46.84
2023-06-08,Colombo,Rice,233.63,49.59
2023-06-09,Colombo,Rice,184.31,43.85
2023-06-10,Colombo,Rice,145.8,36.6
2023-06-11,Colombo,Rice,152.36,39.09
2023-06-12,Colombo,Rice,214.31,34.86
2023-06-13,Colombo,Rice,222.14,50.36
2023-06-14,Colombo,Rice,179.1,42.6
2023-06-15,Colombo,Rice,236.15,48.61
2023-06-16,Colombo,Rice,151.1,58.22
2023-06-17,Colombo,Rice,210.09,50.01
2023-06-18,Colombo,Rice,167.76,35.15
2023-06-19,Colombo,Rice,188.43,36.09
2023-06-20,Colombo,Rice,214.29,40.73
2023-06-21,Colombo,Rice,180.72,54.69
2023-06-22,Colombo,Rice,198.31,40.59
2023-06-23,Colombo,Rice,249.74,42.95
2023-06-24,Colombo,Rice,191.2,42.13
2023-06-25,Colombo,Rice,243.43,34.08
2023-06-26,Colombo,Rice,170.76,33.15
2023-06-27,Colombo,Rice,232.12,49.99
2023-06-28,Colombo,Rice,265.84,43.21
2023-06-29,Colombo,Rice,121.14,57.54
2023-06-30,Colombo,Rice,183.07,56.26
2023-07-01,Colombo,Rice,212.61,77.91
2023-07-02,Colombo,Rice,183.77,51.98
2023-07-03,Colombo,Rice,205.0,51.13
2023-07-04,Colombo,Rice,168.94,76.28
2023-07-05,Colombo,Rice,194.47,63.2
2023-07-06,Colombo,Rice,185.52,68.48
2023-07-07,Colombo,Rice,234.45,90.32
2023-07-08,Colombo,Rice,200.68,83.62
2023-07-09,Colombo,Rice,203.76,69.73
2023-07-10,Colombo,Rice,176.04,53.49
2023-07-11,Colombo,Rice,173.24,75.66
2023-07-12,Colombo,Rice,175.28,75.11
2023-07-13,Colombo,Rice,205.86,76.17
2023-07-14,Colombo,Rice,175.71,72.08
2023-07-15,Colombo,Rice,201.99,83.25
2023-07-16,Colombo,Rice,268.01,56.24
2023-07-17,Colombo,Rice,223.48,51.72
2023-07-18,Colombo,Rice,179.22,95.01
2023-07-19,Colombo,Rice,235.69,102.76
2023-07-20,Colombo,Rice,176.18,94.0
2023-07-21,Colombo,Rice,115.91,86.7
2023-07-22,Colombo,Rice,154.0,89.14
2023-07-23,Colombo,Rice,122.1,71.59
2023-07-24,Colombo,Rice,178.27,62.39
2023-07-25,Colombo,Rice,191.95,72.98
2023-07-26,Colombo,Rice,253.26,84.71
2023-07-27,Colombo,Rice,203.36,87.51
2023-07-28,Colombo,Rice,183.17,68.06
2023-07-29,Colombo,Rice,221.94,76.58
2023-07-30,Colombo,Rice,109.51,65.24
2023-07-31,Colombo,Rice,199.98,40.68
2023-08-01,Colombo,Rice,219.77,64.99
2023-08-02,Colombo,Rice,136.6,77.88
2023-08-03,Colombo,Rice,233.56,84.24
2023-08-04,Colombo,Rice,203.79,63.71
2023-08-05,Colombo,Rice,175.91,78.48
